timestamp,instance,config_hash,solver,valid_cut_type,add_soc_cuts,random_seed,iteration,block_id,n_original,true_min_eigenvalue,master_objective,master_solve_time,separation_time,num_cuts_added_this_iter,is_psd
1784693286.6080663,control2,af30b4e650,MOSEK,linear,False,42,1,0,20,-0.2869690552622446,757.6402167843121,0.057050228118896484,0.0028543472290039062,8,False
1784693286.6128874,control2,af30b4e650,MOSEK,linear,False,42,1,1,10,-22.456413858199877,757.6402167843121,0.057050228118896484,0.0,2,False
1784693286.6745055,control2,af30b4e650,MOSEK,linear,False,42,2,0,20,-0.3347006531530717,599.3780650566353,0.053619384765625,0.0,8,False
1784693286.6795025,control2,af30b4e650,MOSEK,linear,False,42,2,1,10,-36.536500634871366,599.3780650566353,0.053619384765625,0.0,3,False
1784693286.7479014,control2,af30b4e650,MOSEK,linear,False,42,3,0,20,-0.2861174688081677,510.6015638712072,0.058434247970581055,0.0010061264038085938,10,False
1784693286.7573965,control2,af30b4e650,MOSEK,linear,False,42,3,1,10,-34.50412982169062,510.6015638712072,0.058434247970581055,0.0005130767822265625,3,False
1784693286.831371,control2,af30b4e650,MOSEK,linear,False,42,4,0,20,-0.23951401507511205,462.3302882466494,0.06031942367553711,0.0013897418975830078,9,False
1784693286.8349073,control2,af30b4e650,MOSEK,linear,False,42,4,1,10,-44.52409857182243,462.3302882466494,0.06031942367553711,0.0009989738464355469,3,False
1784693286.8961985,control2,af30b4e650,MOSEK,linear,False,42,5,0,20,-0.2603758693733747,434.7331847049413,0.054285526275634766,0.0009949207305908203,9,False
1784693286.900189,control2,af30b4e650,MOSEK,linear,False,42,5,1,10,-35.23640878153726,434.7331847049413,0.054285526275634766,0.0012710094451904297,3,False
1784693286.9634783,control2,af30b4e650,MOSEK,linear,False,42,6,0,20,-0.17071921266143186,411.35040225117945,0.05448269844055176,0.0,10,False
1784693286.9710014,control2,af30b4e650,MOSEK,linear,False,42,6,1,10,-24.881336555640686,411.35040225117945,0.05448269844055176,0.0,3,False
1784693287.0419536,control2,af30b4e650,MOSEK,linear,False,42,7,0,20,-0.20126233167245616,397.7941946498346,0.06294083595275879,0.0009794235229492188,8,False
1784693287.0480177,control2,af30b4e650,MOSEK,linear,False,42,7,1,10,-22.419422044382202,397.7941946498346,0.06294083595275879,0.0,4,False
1784693287.131558,control2,af30b4e650,MOSEK,linear,False,42,8,0,20,-0.13018994414819474,388.46145787977554,0.0746757984161377,0.0,9,False
1784693287.1367035,control2,af30b4e650,MOSEK,linear,False,42,8,1,10,-12.995654370934401,388.46145787977554,0.0746757984161377,0.0,3,False
1784693287.2322295,control2,af30b4e650,MOSEK,linear,False,42,9,0,20,-0.16064278670198023,380.9830799150801,0.08650612831115723,0.0009953975677490234,10,False
1784693287.2393262,control2,af30b4e650,MOSEK,linear,False,42,9,1,10,-14.726956904975067,380.9830799150801,0.08650612831115723,0.0010030269622802734,4,False
